codigo,codigo_rama,descripcion
101,1,Cultivo de plantas no perennes
102,1,Cultivo de plantas perennes
103,1,Ganadería
199,1,"Otras actividades relacionadas con la agricultura, ganadería, caza y actividades de apoyo n.c.p."
201,1,"Silvicultura, extracción de madera y actividades de servicios conexas"
301,1,"Pesca, acuicultura y actividades  de servicios conexas"
401,2,Extracción y procesamiento de cobre
501,2,Extracción de carbón de piedra y lignito
601,2,Extracción de petróleo crudo y gas natural
701,2,"Extracción de minerales metalíferos, excepto cobre"
801,2,Extracción y procesamiento de litio
899,2,"Extracción de otras minas y canteras n.c.p., excepto litio"
901,2,Actividades de apoyo para la explotación de minas y canteras
1001,3,"Elaboración y conservación de carne, pescado, crustáceos y moluscos"
1002,3,"Elaboración y conservación de frutas, legumbres y hortalizas; aceites y grasas"
1003,3,Elaboración de productos lácteos
1004,3,Elaboración de productos de panadería
1099,3,Elaboración de otros productos alimenticios n.c.p.
1101,3,"Elaboración de bebidas alcohólicas y no alcohólicas, excepto vino"
1102,3,Elaboración de vinos
1201,3,Elaboración de productos de tabaco
1401,3,"Fabricación de productos textiles, fabricación de prendas de vestir, productos de cuero y productos conexos"
1601,3,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzados"
1701,3,Fabricación de papel y productos de papel
1801,3,Impresión y servicios de apoyo; reproducción de grabaciones
1901,3,Fabricación de coque y productos de la refinación del petróleo
2001,3,Fabricación de sustancias y productos químicos
2101,3,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico"
2201,3,Fabricación de productos de caucho y de plástico
2301,3,Fabricación de otros productos minerales no metálicos
2401,3,Fabricación de metales comunes
2501,3,"Fabricación de productos elaborados de metal y servicios de trabajo de metales, excepto máquinas y equipos"
2701,3,"Fabricación de productos informáticos, electrónicos, ópticos, equipos eléctricos y maquinaria"
3001,3,"Fabricación de vehículos automotores, remolques y semirremolques y otros tipos de equipo de transporte"
3101,3,Fabricación de muebles
3201,3,Otras industrias manufactureras
3301,3,"Mantenimiento, reparación e instalación de maquinaria y equipo"
3501,4,"Electricidad, gas, vapor y aire acondicionado"
3601,5,"Captación, tratamiento y distribución de agua"
3701,5,Evacuación de aguas residuales
3801,5,"Recogida, tratamiento y eliminación de desechos"
3802,5,Recuperación de materiales
3901,5,Actividades de descontaminación y otros  servicios de gestión de desechos
4101,6,Construcción de edificios
4201,6,Obras de ingeniería civil
4301,6,Actividades especializadas de construcción
4501,7,Comercio y reparación de vehículos automotores y motocicletas
4801,7,Comercio de intermediación
4802,7,Comercio de materias primas agropecuarias y animales vivos
4803,7,"Comercio especializado de alimentos, bebidas y tabaco"
4804,7,"Comercio de productos textiles, prendas de vestir y calzado, y enseres domésticos"
4805,7,"Comercio de materiales de construcción, artículos de ferretería, gasfitería, pinturas, espejos y artículos para revestimiento"
4806,7,Comercio de combustible para vehículos y productos conexos para uso doméstico
4807,7,"Comercio de mercaderías n.c.p., incluso mercaderías usadas"
4808,7,"Tiendas no especializadas con o sin predominio de la venta de alimentos, bebidas o tabaco"
4809,7,"Comercio al por menor en mercados, ferias y otros puestos móviles"
4810,7,"Comercio al por menor por correo, televisión, internet; comercio ambulante y otros tipos de ventas n.c.p."
4901,8,Transporte por ferrocarril
4902,8,Transporte de pasajeros por vía terrestre
4903,8,Transporte de carga por vía terrestre
5001,8,Transporte por vía acuática
5101,8,Transporte por vía aérea
5201,8,Depósito y almacenamiento
5202,8,Servicios auxiliares al transporte
5301,8,Actividades postales y de mensajería
5501,9,Actividades de alojamiento
