folio,area,expr,expp,expc,cod_comuna
100020301,1,264,285,371,13127
100020401,1,295,286,371,13127
100020501,1,373,285,371,13127
100020801,1,266,285,372,13127
100070201,1,72,60,82,2203
100070501,1,59,61,82,2203
100070601,1,58,60,81,2203
100070801,1,49,60,81,2203
100160301,1,165,183,178,13103
100160401,1,156,183,177,13103
100160501,1,192,183,178,13103
100160601,1,134,183,177,13103
100160701,1,168,182,178,13103
100160801,1,137,183,177,13103
100200201,1,106,99,100,8110
100200701,1,102,99,100,8110
100200801,1,101,100,100,8110
100240201,1,94,102,106,4101
100240301,1,155,101,106,4101
100240401,1,89,101,107,4101
100240801,1,85,101,106,4101
100280101,1,88,73,73,8110
100280201,1,68,73,74,8110
100280301,1,79,73,74,8110
100280501,1,66,74,74,8110
100280601,1,112,74,74,8110
100280701,1,59,74,73,8110
100280801,1,73,73,74,8110
100290101,1,78,78,77,6101
100290201,1,153,78,77,6101
100290301,1,77,78,77,6101
100290501,1,107,78,76,6101
100290701,1,74,78,77,6101
100290801,1,57,78,77,6101
100300101,1,72,63,69,9101
100300201,1,131,63,69,9101
100300301,1,51,63,69,9101
100300401,1,71,63,69,9101
100300501,1,51,63,70,9101
100300801,1,65,63,69,9101
100340101,1,220,184,175,13119
100340201,1,153,183,175,13119
100340301,1,131,183,175,13119
100340401,1,131,183,175,13119
100340501,1,169,183,175,13119
100340801,1,114,183,175,13119
100390101,1,27,37,41,14107
100390201,1,48,37,41,14107
100390301,1,56,37,41,14107
100390401,1,54,37,42,14107
100390601,1,37,37,42,14107
100390701,1,32,37,42,14107
100410301,1,66,63,60,7102
100410401,1,84,63,60,7102
100410701,1,53,63,60,7102
100410801,1,81,63,61,7102
100420201,1,161,176,168,13119
100420301,1,210,175,167,13119
100420401,1,292,175,167,13119
100420501,1,244,176,167,13119
100420601,1,144,175,167,13119
100420701,1,136,176,168,13119
100420801,1,282,176,168,13119
100450101,1,66,62,50,10109
100450201,1,60,61,50,10109
100450301,1,80,62,50,10109
100450401,1,56,61,50,10109
100450501,1,77,61,50,10109
100450601,1,65,61,50,10109
100450701,1,121,61,50,10109
100450801,1,86,61,50,10109
100480201,1,257,193,198,13112
100480301,1,105,193,198,13112
100480501,1,167,193,198,13112
100480601,1,192,193,197,13112
100480701,1,152,193,198,13112
100480801,1,152,193,198,13112
100510101,2,93,86,75,6109
100510201,2,146,86,75,6109
100510301,2,49,86,74,6109
100510501,2,68,86,75,6109
100510601,2,79,86,75,6109
100510701,2,64,86,75,6109
100510801,2,62,86,75,6109
100510901,2,78,86,75,6109
100511001,2,65,86,74,6109
100530101,1,94,80,76,8112
100530201,1,147,80,77,8112
100530301,1,90,80,76,8112
100530401,1,64,81,77,8112
100530501,1,81,80,77,8112
100530601,1,84,80,76,8112
100530701,1,79,81,76,8112
100530801,1,88,80,76,8112
100540401,1,44,67,70,10301
100540601,1,67,67,70,10301
100540701,1,62,67,70,10301
100540801,1,49,67,70,10301
100620201,1,316,338,341,13114
100620301,1,281,338,340,13114
100620401,1,343,338,340,13114
100630101,2,41,65,65,9103
100630201,2,42,65,64,9103
100630401,2,51,66,64,9103
100630501,2,46,65,64,9103
100630601,2,54,65,64,9103
100630701,2,35,65,64,9103
100631001,2,51,65,64,9103
100650301,1,140,168,170,13114
100650401,1,184,169,170,13114
100650701,1,151,169,170,13114
100700101,1,150,197,189,13119
100700201,1,196,197,188,13119
100700301,1,261,198,188,13119
100700401,1,107,198,189,13119
100700501,1,270,198,189,13119
100700701,1,193,198,189,13119
100700801,1,160,198,188,13119
100710101,1,138,179,214,13125
100710301,1,147,178,215,13125
100710401,1,150,178,214,13125
100710501,1,153,178,215,13125
100710601,1,172,178,214,13125
100710701,1,161,179,215,13125
100710801,1,155,178,215,13125
100720101,1,67,70,70,10101
100720201,1,119,70,69,10101
100720301,1,80,71,69,10101
100720401,1,74,70,69,10101
100720501,1,108,70,69,10101
100720601,1,72,70,69,10101
100720701,1,119,71,69,10101
100720801,1,102,70,70,10101
100790101,1,203,211,209,13201
100790201,1,185,211,209,13201
100790401,1,280,211,209,13201
100790501,1,195,211,209,13201
100790601,1,205,211,209,13201
100790801,1,216,211,208,13201
100820101,1,92,79,79,8110
100820201,1,64,79,80,8110
100820301,1,84,79,80,8110
100820501,1,69,79,79,8110
100820601,1,57,79,79,8110
100820701,1,55,79,79,8110
100820801,1,77,79,79,8110
100920201,1,37,30,32,9104
100920301,1,35,31,32,9104
100920401,1,40,30,32,9104
100920501,1,54,31,32,9104
100920701,1,30,31,32,9104
100920801,1,27,31,31,9104
100950101,1,30,34,32,1107
100950201,1,47,33,32,1107
100950301,1,26,34,31,1107
100950401,1,30,34,32,1107
100950501,1,23,34,31,1107
100950601,1,33,33,32,1107
100950701,1,28,34,31,1107
100950801,1,34,33,31,1107
100951101,1,31,34,31,1107
100951201,1,36,34,31,1107
100960201,1,81,73,72,6101
100960301,1,52,73,72,6101
100960401,1,40,73,72,6101
100960501,1,118,73,72,6101
100960801,1,80,73,72,6101
100980101,1,224,135,115,13130
100980201,1,115,135,115,13130
100980501,1,119,135,116,13130
100980701,1,140,135,115,13130
101020101,1,89,106,105,10101
101020401,1,137,105,104,10101
101020701,1,69,105,104,10101
101030101,1,49,46,50,9101
101030201,1,48,46,50,9101
101030301,1,41,45,51,9101
101030401,1,65,46,50,9101
101030501,1,43,46,51,9101
101030601,1,48,45,50,9101
101030701,1,58,46,51,9101
101030801,1,107,46,50,9101
101060301,1,230,292,265,13132
101060601,1,264,292,265,13132
101070301,2,29,45,44,11101
101070401,2,21,45,45,11101
101070501,2,38,45,45,11101
101070601,2,27,45,45,11101
101070701,2,31,45,45,11101
101070901,2,26,45,44,11101
101071101,2,25,45,45,11101
101071301,2,16,45,44,11101
101071401,2,24,44,44,11101
101080101,2,42,56,43,4304
101080201,2,38,56,43,4304
101080301,2,25,56,43,4304
101080401,2,32,56,43,4304
101080501,2,36,56,43,4304
101080601,2,51,56,43,4304
101080701,2,40,56,43,4304
101080901,2,35,56,43,4304
101081001,2,33,56,43,4304
101090101,1,64,62,66,9108
101090201,1,66,62,65,9108
101090301,1,81,62,65,9108
101090401,1,58,62,65,9108
101090501,1,62,62,65,9108
101090601,1,98,62,65,9108
101090701,1,72,63,65,9108
101090702,1,85,62,65,9108
101090801,1,68,63,66,9108
101110101,1,132,105,110,10301
101110201,1,109,106,110,10301
101110401,1,74,106,110,10301
101110501,1,109,106,110,10301
101150101,1,58,68,76,8111
101150201,1,62,68,76,8111
101150301,1,69,68,76,8111
101150401,1,70,68,76,8111
101150501,1,73,69,77,8111
101150601,1,62,68,76,8111
101150701,1,62,69,76,8111
101150801,1,65,69,76,8111
101160101,1,43,56,56,2201
101160201,1,49,57,56,2201
101160301,1,53,57,56,2201
101160401,1,108,57,56,2201
101160601,1,56,57,56,2201
101160701,1,58,57,55,2201
101160801,1,67,57,55,2201
101200201,1,69,65,64,2201
101200401,1,71,65,64,2201
101200501,1,67,65,64,2201
101200801,1,67,65,64,2201
101220101,1,176,107,108,2101
101220201,1,90,107,107,2101
101220301,1,91,107,108,2101
101220401,1,128,107,108,2101
101220501,1,102,107,108,2101
101220701,1,99,107,108,2101
101220801,1,88,107,108,2101
101250101,1,46,50,50,14101
101250201,1,54,50,49,14101
101250301,1,44,50,50,14101
101250401,1,50,50,49,14101
101250601,1,45,50,49,14101
101250801,1,54,50,49,14101
101260401,1,260,266,320,13125
101260501,1,234,266,320,13125
101260601,1,240,267,320,13125
101280101,1,78,76,75,5109
101280201,1,108,76,75,5109
101280301,1,69,77,75,5109
101280501,1,84,76,75,5109
101280701,1,108,77,75,5109
101290101,1,56,76,75,9210
101290201,1,63,75,76,9210
101290301,1,73,75,75,9210
101290501,1,69,76,75,9210
101290601,1,50,75,76,9210
101290701,1,55,75,76,9210
101290801,1,63,76,75,9210
101310501,1,33,32,32,3101
101310601,1,57,32,32,3101
101310701,1,35,32,32,3101
101310801,1,37,33,32,3101
101311001,1,26,33,32,3101
101311101,1,31,32,32,3101
101311201,1,22,32,32,3101
101320101,1,86,73,74,8101
101320301,1,82,72,74,8101
101320401,1,60,73,74,8101
101320501,1,82,73,74,8101
101320701,1,100,73,74,8101
101350101,2,81,117,113,16101
101350201,2,76,116,114,16101
101350301,2,113,117,114,16101
101350401,2,99,117,114,16101
101350501,2,95,117,113,16101
101350801,2,90,116,114,16101
101350901,2,81,117,114,16101
101351001,2,78,117,114,16101
101360101,1,127,204,236,13124
101360201,1,229,203,236,13124
101360501,1,192,203,236,13124
101360601,1,163,203,236,13124
101360801,1,267,203,235,13124
101370101,1,234,233,210,13605
101370201,1,236,233,210,13605
101370301,1,172,233,210,13605
101370401,1,250,234,210,13605
101370501,1,208,233,210,13605
101370701,1,199,233,210,13605
101370801,1,221,233,210,13605
101410101,1,143,178,208,13108
101410301,1,153,178,208,13108
101410401,1,124,178,207,13108
101410601,1,194,177,208,13108
101410701,1,193,178,208,13108
101410801,1,137,178,208,13108
101420101,1,211,230,216,13104
101420201,1,226,230,216,13104
101420301,1,173,230,217,13104
101420401,1,227,231,217,13104
101420402,1,265,230,217,13104
101420501,1,180,231,217,13104
101420601,1,234,231,216,13104
101420701,1,310,230,216,13104
101500101,1,69,72,77,7301
101500201,1,68,72,78,7301
101500301,1,92,72,77,7301
101500401,1,98,72,78,7301
101500501,1,118,72,77,7301
101500601,1,73,72,77,7301
101500701,1,76,72,77,7301
101500801,1,86,72,78,7301
101520201,1,110,62,65,16302
101520301,1,43,62,65,16302
101520401,1,82,62,65,16302
101520601,1,53,62,65,16302
101520701,1,48,62,65,16302
101520801,1,37,62,66,16302
101540101,1,43,69,69,6106
101540201,1,44,69,69,6106
101540401,1,82,69,69,6106
101540501,1,68,69,70,6106
101540701,1,86,69,70,6106
101540801,1,61,69,70,6106
101570201,1,123,81,85,7105
101570401,1,71,82,86,7105
101570501,1,73,81,86,7105
101570701,1,78,82,86,7105
101600201,1,287,377,340,13302
101600301,1,294,376,340,13302
101600401,1,306,376,341,13302
101600601,1,508,376,340,13302
101600801,1,340,377,340,13302
101630301,1,49,53,53,12101
101630401,1,37,53,53,12101
101630501,1,73,52,53,12101
101630601,1,46,52,53,12101
101630701,1,51,53,53,12101
101630801,1,46,53,53,12101
101631001,1,67,53,53,12101
101631101,1,55,53,53,12101
