cod_provincia,cod_region,nombre
11,1,Iquique
14,1,Tamarugal
21,2,Antofagasta
22,2,El Loa
23,2,Tocopilla
31,3,Copiapó
32,3,Chañaral
33,3,Huasco
41,4,Elqui
42,4,Choapa
43,4,Limarí
51,5,Valparaíso
52,5,Isla de Pascua
53,5,Los Andes
54,5,Petorca
55,5,Quillota
56,5,San Antonio
57,5,San Felipe de Aconcagua
58,5,Marga Marga
61,6,Cachapoal
62,6,Cardenal Caro
63,6,Colchagua
71,7,Talca
72,7,Cauquenes
73,7,Curicó
74,7,Linares
81,8,Concepción
82,8,Arauco
83,8,Biobío
91,9,Cautín
92,9,Malleco
101,10,Llanquihue
102,10,Chiloé
103,10,Osorno
104,10,Palena
111,11,Coihaique
112,11,Aisén
113,11,Capitán Prat
114,11,General Carrera
121,12,Magallanes
122,12,Antártica Chilena
123,12,Tierra del Fuego
124,12,Última Esperanza
131,13,Santiago
132,13,Cordillera
133,13,Chacabuco
134,13,Maipo
135,13,Melipilla
136,13,Talagante
141,14,Valdivia
142,14,Ranco
151,15,Arica
152,15,Parinacota
161,16,Diguillín
162,16,Itata
163,16,Punilla
